iter	Passed	Remaining
434	1513	3706
435	1517	3702
436	1520	3698
437	1523	3694
438	1527	3691
439	1530	3687
440	1533	3683
441	1537	3679
442	1540	3676
443	1544	3672
444	1547	3668
445	1550	3664
446	1554	3661
447	1557	3657
448	1560	3653
449	1564	3650
450	1567	3646
451	1571	3642
452	1574	3638
453	1577	3635
454	1581	3631
455	1584	3627
456	1587	3623
457	1591	3620
458	1594	3616
459	1598	3612
460	1601	3609
461	1604	3605
462	1608	3601
463	1611	3598
464	1614	3594
465	1618	3590
466	1621	3587
467	1625	3583
468	1628	3579
469	1631	3576
470	1635	3572
471	1638	3568
472	1642	3565
473	1645	3561
474	1648	3557
475	1652	3554
476	1655	3550
477	1658	3547
478	1662	3543
479	1665	3539
480	1669	3536
481	1672	3532
482	1675	3528
483	1679	3525
484	1682	3521
485	1685	3517
486	1689	3513
487	1692	3510
488	1696	3506
489	1699	3502
490	1702	3499
491	1706	3495
492	1709	3491
493	1712	3488
494	1716	3484
495	1719	3480
496	1723	3477
497	1726	3473
498	1729	3469
499	1733	3466
500	1736	3462
501	1739	3459
502	1743	3455
503	1746	3451
504	1749	3447
505	1753	3444
506	1756	3440
507	1760	3437
508	1763	3433
509	1766	3429
510	1770	3426
511	1773	3422
512	1777	3419
513	1780	3415
514	1783	3412
515	1787	3408
516	1790	3404
517	1794	3401
518	1797	3397
519	1800	3393
520	1804	3390
521	1807	3386
522	1811	3383
523	1814	3379
524	1817	3375
525	1821	3372
526	1824	3368
527	1827	3365
528	1831	3361
529	1834	3357
530	1838	3354
531	1841	3350
532	1844	3347
533	1848	3343
534	1851	3339
535	1855	3336
536	1858	3332
537	1861	3329
538	1865	3325
539	1868	3321
540	1871	3318
541	1875	3314
542	1878	3310
543	1881	3307
544	1885	3303
545	1888	3300
546	1892	3296
547	1895	3292
548	1898	3289
549	1902	3285
550	1905	3282
551	1909	3278
552	1912	3275
553	1915	3271
554	1919	3267
555	1922	3264
556	1926	3260
557	1929	3257
558	1932	3253
559	1936	3249
560	1939	3246
561	1942	3242
562	1946	3239
563	1949	3235
564	1953	3231
565	1956	3228
566	1959	3224
567	1963	3221
568	1966	3217
569	1969	3214
570	1973	3210
571	1976	3207
572	1980	3203
573	1983	3199
574	1986	3196
575	1990	3192
576	1993	3189
577	1997	3185
578	2000	3182
579	2003	3178
580	2007	3175
581	2010	3171
582	2014	3167
583	2017	3164
584	2020	3160
585	2024	3157
586	2027	3153
587	2030	3149
588	2034	3146
589	2037	3142
590	2041	3139
591	2044	3135
592	2047	3132
593	2051	3128
594	2054	3124
595	2057	3121
596	2061	3117
597	2064	3114
598	2067	3110
599	2071	3107
600	2074	3103
601	2078	3099
602	2081	3096
603	2084	3092
604	2088	3089
605	2091	3085
606	2095	3082
607	2098	3078
608	2102	3075
609	2105	3071
610	2108	3068
611	2112	3064
612	2115	3061
613	2118	3057
614	2122	3054
615	2125	3050
616	2129	3046
617	2132	3043
618	2135	3039
619	2139	3036
620	2142	3032
621	2145	3029
622	2149	3025
623	2152	3022
624	2156	3018
625	2159	3015
626	2163	3012
627	2166	3008
628	2170	3005
629	2173	3001
630	2176	2997
631	2180	2994
632	2183	2990
633	2186	2987
634	2190	2983
635	2193	2980
636	2197	2976
637	2200	2973
638	2203	2969
639	2207	2966
640	2211	2963
641	2214	2959
642	2218	2956
643	2221	2952
644	2225	2949
645	2228	2946
646	2232	2942
647	2235	2939
648	2238	2935
649	2242	2932
650	2245	2928
651	2249	2925
652	2252	2922
653	2256	2918
654	2259	2915
655	2263	2911
656	2266	2908
657	2270	2904
658	2273	2901
659	2277	2898
660	2280	2894
661	2284	2891
662	2287	2887
663	2291	2884
664	2294	2881
665	2298	2877
666	2301	2874
667	2304	2870
668	2308	2867
669	2311	2863
670	2315	2860
671	2318	2857
672	2322	2853
673	2325	2850
674	2329	2846
675	2332	2843
676	2336	2839
677	2339	2836
678	2343	2833
679	2346	2829
680	2350	2826
681	2353	2822
682	2357	2819
683	2360	2816
684	2363	2812
685	2367	2809
686	2370	2805
687	2374	2802
688	2377	2798
689	2381	2795
690	2384	2791
691	2388	2788
692	2391	2784
693	2394	2781
694	2398	2777
695	2401	2774
696	2404	2770
697	2408	2767
698	2411	2763
699	2415	2760
700	2418	2756
701	2421	2753
702	2425	2749
703	2428	2745
704	2432	2743
705	2435	2739
706	2439	2736
707	2442	2732
708	2446	2729
709	2449	2725
710	2452	2722
711	2456	2718
712	2459	2714
713	2463	2711
714	2466	2707
715	2469	2704
716	2473	2700
717	2476	2697
718	2479	2693
719	2483	2690
720	2486	2686
721	2490	2683
722	2493	2679
723	2496	2676
724	2500	2672
725	2503	2669
726	2507	2665
727	2510	2662
728	2514	2658
729	2517	2655
730	2520	2651
731	2524	2648
732	2527	2644
733	2531	2641
734	2534	2637
735	2537	2634
736	2541	2630
737	2544	2627
738	2547	2623
739	2551	2620
740	2554	2616
741	2558	2613
742	2561	2609
743	2564	2606
744	2568	2602
745	2571	2599
746	2574	2595
747	2578	2592
748	2581	2588
749	2585	2585
750	2588	2581
751	2591	2578
752	2595	2574
753	2598	2571
754	2605	2570
755	2608	2567
756	2611	2563
757	2615	2560
758	2618	2556
759	2622	2553
760	2625	2549
761	2629	2546
762	2632	2542
763	2635	2539
764	2639	2535
765	2642	2532
766	2646	2528
767	2649	2525
768	2653	2521
769	2656	2518
770	2659	2515
771	2663	2511
772	2666	2508
773	2670	2504
774	2674	2501
775	2677	2498
776	2681	2495
777	2685	2491
778	2688	2488
779	2692	2485
780	2696	2482
781	2699	2478
782	2703	2475
783	2707	2472
784	2710	2469
785	2714	2465
786	2718	2462
787	2721	2459
788	2725	2456
789	2729	2452
790	2732	2449
791	2736	2446
792	2740	2442
793	2743	2439
794	2746	2435
795	2750	2432
796	2753	2429
797	2757	2425
798	2760	2422
799	2764	2418
800	2767	2415
801	2771	2411
802	2774	2408
803	2778	2404
804	2781	2401
805	2785	2398
806	2788	2394
807	2792	2391
808	2795	2387
809	2798	2384
810	2802	2381
811	2806	2377
812	2809	2374
813	2812	2370
814	2816	2367
815	2819	2363
816	2823	2360
817	2826	2356
818	2830	2353
819	2833	2349
820	2837	2346
821	2840	2343
822	2844	2339
823	2847	2336
824	2851	2332
825	2856	2330
826	2861	2328
827	2864	2325
828	2868	2321
829	2871	2318
830	2875	2314
831	2878	2311
832	2881	2307
833	2885	2304
834	2888	2300
835	2892	2297
836	2895	2293
837	2899	2290
838	2902	2286
839	2906	2283
840	2909	2279
841	2913	2276
842	2916	2273
843	2920	2269
844	2923	2266
845	2926	2262
846	2930	2259
847	2933	2255
848	2937	2252
849	2940	2248
850	2944	2245
851	2947	2242
852	2951	2238
853	2954	2235
854	2958	2231
855	2961	2228
856	2965	2224
857	2968	2221
858	2972	2217
859	2975	2214
860	2979	2210
861	2982	2207
862	2985	2203
863	2989	2200
864	2992	2197
865	2996	2193
866	2999	2190
867	3003	2186
868	3006	2183
869	3010	2179
870	3013	2176
871	3016	2172
872	3020	2169
873	3023	2165
874	3027	2162
875	3030	2158
876	3034	2155
877	3037	2151
878	3040	2148
879	3044	2144
880	3047	2141
881	3051	2138
882	3054	2134
883	3058	2131
884	3061	2127
885	3065	2124
886	3068	2120
887	3072	2117
888	3075	2113
889	3078	2110
890	3082	2106
891	3085	2103
892	3089	2099
893	3092	2096
894	3096	2093
895	3100	2090
896	3105	2087
897	3109	2084
898	3112	2080
899	3116	2077
900	3119	2073
901	3122	2070
902	3126	2066
903	3129	2063
904	3133	2060
905	3136	2056
906	3140	2053
907	3143	2049
908	3147	2046
909	3150	2042
910	3154	2039
911	3157	2035
912	3160	2032
913	3164	2028
914	3167	2025
915	3171	2021
916	3174	2018
917	3178	2014
918	3181	2011
919	3185	2008
920	3188	2004
921	3192	2001
922	3195	1997
923	3199	1994
924	3202	1990
925	3205	1987
926	3209	1983
927	3212	1980
928	3216	1976
929	3219	1973
930	3223	1970
931	3226	1966
932	3230	1963
933	3234	1959
934	3237	1956
935	3240	1952
936	3244	1949
937	3247	1945
938	3251	1942
939	3254	1939
940	3258	1935
941	3261	1932
942	3265	1928
943	3268	1925
944	3272	1921
945	3275	1918
946	3279	1914
947	3282	1911
948	3286	1907
949	3289	1904
950	3293	1901
951	3296	1897
952	3300	1894
953	3303	1890
954	3307	1887
955	3310	1883
956	3314	1880
957	3317	1876
958	3321	1873
959	3324	1870
960	3327	1866
961	3331	1863
962	3334	1859
963	3338	1856
964	3341	1852
965	3345	1849
966	3348	1845
967	3352	1842
968	3355	1838
969	3359	1835
970	3362	1832
971	3366	1828
972	3369	1825
973	3373	1821
974	3376	1818
975	3380	1814
976	3383	1811
977	3387	1807
978	3390	1804
979	3394	1800
980	3397	1797
981	3401	1794
982	3404	1790
983	3407	1787
984	3411	1783
985	3414	1780
986	3418	1776
987	3421	1773
988	3425	1769
989	3428	1766
990	3432	1762
991	3435	1759
992	3439	1755
993	3442	1752
994	3446	1749
995	3449	1745
996	3452	1742
997	3456	1738
998	3459	1735
999	3463	1731
1000	3466	1728
1001	3470	1724
1002	3473	1721
1003	3477	1717
1004	3480	1714
1005	3484	1710
1006	3487	1707
1007	3491	1704
1008	3494	1700
1009	3498	1697
1010	3501	1693
1011	3505	1690
1012	3508	1686
1013	3512	1683
1014	3515	1679
1015	3519	1676
1016	3522	1672
1017	3526	1669
1018	3529	1666
1019	3533	1662
1020	3536	1659
1021	3540	1655
1022	3543	1652
1023	3547	1648
1024	3550	1645
1025	3554	1641
1026	3557	1638
1027	3561	1635
1028	3564	1631
1029	3568	1628
1030	3571	1624
1031	3574	1621
1032	3578	1617
1033	3581	1614
1034	3585	1610
1035	3588	1607
1036	3592	1603
1037	3595	1600
1038	3599	1596
1039	3602	1593
1040	3605	1589
1041	3609	1586
1042	3612	1583
1043	3616	1579
1044	3619	1576
1045	3623	1572
1046	3626	1569
1047	3630	1565
1048	3633	1562
1049	3637	1558
1050	3640	1555
1051	3644	1551
1052	3647	1548
1053	3650	1544
1054	3654	1541
1055	3657	1537
1056	3661	1534
1057	3664	1531
1058	3668	1527
1059	3671	1524
1060	3675	1520
1061	3678	1517
1062	3681	1513
1063	3685	1510
1064	3688	1506
1065	3692	1503
1066	3695	1499
1067	3699	1496
1068	3702	1492
1069	3706	1489
1070	3709	1485
1071	3712	1482
1072	3716	1478
1073	3719	1475
1074	3723	1471
1075	3726	1468
1076	3730	1465
1077	3733	1461
1078	3737	1458
1079	3740	1454
1080	3743	1451
1081	3747	1447
1082	3750	1444
1083	3754	1440
1084	3757	1437
1085	3761	1433
1086	3764	1430
1087	3768	1426
1088	3771	1423
1089	3774	1419
1090	3778	1416
1091	3781	1412
1092	3785	1409
1093	3788	1405
1094	3792	1402
1095	3797	1399
1096	3802	1397
1097	3808	1394
1098	3813	1391
1099	3819	1388
1100	3823	1385
1101	3827	1382
1102	3830	1378
1103	3834	1375
1104	3837	1371
1105	3841	1368
1106	3844	1364
1107	3848	1361
1108	3851	1357
1109	3855	1354
1110	3858	1350
1111	3861	1347
1112	3865	1344
1113	3868	1340
1114	3872	1337
1115	3875	1333
1116	3879	1330
1117	3882	1326
1118	3886	1323
1119	3889	1319
1120	3893	1316
1121	3896	1312
1122	3900	1309
1123	3903	1305
1124	3907	1302
1125	3910	1298
1126	3913	1295
1127	3917	1291
1128	3920	1288
1129	3924	1284
1130	3927	1281
1131	3931	1278
1132	3934	1274
1133	3938	1271
1134	3942	1267
1135	3945	1264
1136	3948	1260
1137	3952	1257
1138	3955	1253
1139	3959	1250
1140	3962	1246
1141	3966	1243
1142	3969	1239
1143	3973	1236
1144	3976	1232
1145	3980	1229
1146	3983	1225
1147	3987	1222
1148	3990	1219
1149	3994	1215
1150	3997	1212
1151	4001	1208
1152	4004	1205
1153	4008	1201
1154	4011	1198
1155	4015	1194
1156	4018	1191
1157	4022	1187
1158	4025	1184
1159	4029	1181
1160	4032	1177
1161	4036	1174
1162	4039	1170
1163	4043	1167
1164	4046	1163
1165	4050	1160
1166	4053	1156
1167	4057	1153
1168	4060	1149
1169	4064	1146
1170	4068	1142
1171	4071	1139
1172	4075	1136
1173	4078	1132
1174	4082	1129
1175	4085	1125
1176	4089	1122
1177	4093	1118
1178	4096	1115
1179	4100	1112
1180	4104	1108
1181	4107	1105
1182	4111	1101
1183	4115	1098
1184	4118	1094
1185	4122	1091
1186	4126	1088
1187	4129	1084
1188	4133	1081
1189	4137	1077
1190	4140	1074
1191	4144	1070
1192	4148	1067
1193	4151	1064
1194	4155	1060
1195	4159	1057
1196	4162	1053
1197	4166	1050
1198	4170	1046
1199	4173	1043
1200	4177	1040
1201	4181	1036
1202	4184	1033
1203	4188	1029
1204	4192	1026
1205	4196	1022
1206	4199	1019
1207	4203	1016
1208	4207	1012
1209	4210	1009
1210	4214	1005
1211	4218	1002
1212	4221	998
1213	4225	995
1214	4229	992
1215	4232	988
1216	4236	985
1217	4240	981
1218	4243	978
1219	4247	974
1220	4251	971
1221	4254	967
1222	4258	964
1223	4262	961
1224	4265	957
1225	4269	954
1226	4273	950
1227	4281	948
1228	4284	944
1229	4288	941
1230	4292	937
1231	4295	934
1232	4299	931
1233	4303	927
1234	4306	924
1235	4310	920
1236	4314	917
1237	4317	913
1238	4321	910
1239	4325	906
1240	4328	903
1241	4332	899
1242	4335	896
1243	4339	892
1244	4342	889
1245	4346	885
1246	4349	882
1247	4353	878
1248	4356	875
1249	4360	872
1250	4363	868
1251	4366	865
1252	4370	861
1253	4373	858
1254	4377	854
1255	4380	851
1256	4384	847
1257	4387	844
1258	4391	840
1259	4394	837
1260	4398	833
1261	4401	830
1262	4405	826
1263	4409	823
1264	4412	819
1265	4416	816
1266	4419	812
1267	4422	809
1268	4426	805
1269	4429	802
1270	4433	798
1271	4436	795
1272	4440	791
1273	4443	788
1274	4447	784
1275	4450	781
1276	4454	777
1277	4457	774
1278	4461	770
1279	4464	767
1280	4468	763
1281	4471	760
1282	4474	756
1283	4478	753
1284	4481	749
1285	4485	746
1286	4488	742
1287	4492	739
1288	4495	735
1289	4499	732
1290	4502	728
1291	4506	725
1292	4509	722
1293	4513	718
1294	4516	715
1295	4520	711
1296	4523	708
1297	4527	704
1298	4530	701
1299	4534	697
1300	4537	694
1301	4541	690
1302	4544	687
1303	4548	683
1304	4551	680
1305	4555	676
1306	4558	673
1307	4562	669
1308	4565	666
1309	4569	662
1310	4572	659
1311	4576	655
1312	4579	652
1313	4583	648
1314	4586	645
1315	4590	641
1316	4593	638
1317	4597	634
1318	4600	631
1319	4604	627
1320	4607	624
1321	4611	620
1322	4614	617
1323	4618	613
1324	4621	610
1325	4625	606
1326	4628	603
1327	4632	599
1328	4635	596
1329	4639	593
1330	4642	589
1331	4646	586
1332	4649	582
1333	4653	579
1334	4657	575
1335	4660	572
1336	4664	568
1337	4667	565
1338	4671	561
1339	4674	558
1340	4678	554
1341	4681	551
1342	4685	547
1343	4688	544
1344	4692	540
1345	4695	537
1346	4699	533
1347	4702	530
1348	4706	526
1349	4709	523
1350	4713	519
1351	4716	516
1352	4720	512
1353	4723	509
1354	4727	505
1355	4730	502
1356	4734	498
1357	4737	495
1358	4741	491
1359	4744	488
1360	4748	484
1361	4751	481
1362	4755	477
1363	4758	474
1364	4762	470
1365	4765	467
1366	4769	464
1367	4772	460
1368	4776	457
1369	4779	453
1370	4783	450
1371	4786	446
1372	4790	443
1373	4793	439
1374	4797	436
1375	4800	432
1376	4804	429
1377	4807	425
1378	4811	422
1379	4814	418
1380	4818	415
1381	4821	411
1382	4825	408
1383	4828	404
1384	4832	401
1385	4835	397
1386	4839	394
1387	4842	390
1388	4846	387
1389	4849	383
1390	4853	380
1391	4856	376
1392	4860	373
1393	4863	369
1394	4867	366
1395	4870	362
1396	4874	359
1397	4877	355
1398	4881	352
1399	4884	348
1400	4888	345
1401	4891	341
1402	4895	338
1403	4898	334
1404	4902	331
1405	4905	327
1406	4909	324
1407	4912	321
1408	4916	317
1409	4919	314
1410	4923	310
1411	4926	307
1412	4930	303
1413	4933	300
1414	4937	296
1415	4940	293
1416	4944	289
1417	4947	286
1418	4951	282
1419	4954	279
1420	4958	275
1421	4961	272
1422	4965	268
1423	4968	265
1424	4972	261
1425	4976	258
1426	4980	254
1427	4984	251
1428	4988	247
1429	4992	244
1430	4995	240
1431	4999	237
1432	5002	233
1433	5006	230
1434	5009	226
1435	5013	223
1436	5016	219
1437	5020	216
1438	5023	212
1439	5027	209
1440	5030	205
1441	5034	202
1442	5037	198
1443	5041	195
1444	5044	192
1445	5048	188
1446	5051	185
1447	5055	181
1448	5058	178
1449	5062	174
1450	5065	171
1451	5068	167
1452	5072	164
1453	5075	160
1454	5079	157
1455	5082	153
1456	5086	150
1457	5089	146
1458	5092	143
1459	5096	139
1460	5099	136
1461	5103	132
1462	5106	129
1463	5109	125
1464	5113	122
1465	5116	118
1466	5120	115
1467	5123	111
1468	5127	108
1469	5130	104
1470	5133	101
1471	5137	97
1472	5140	94
1473	5144	90
1474	5147	87
1475	5151	83
1476	5154	80
1477	5157	76
1478	5161	73
1479	5164	69
1480	5168	66
1481	5171	62
1482	5174	59
1483	5178	55
1484	5181	52
1485	5185	48
1486	5188	45
1487	5192	41
1488	5195	38
1489	5198	34
1490	5202	31
1491	5205	27
1492	5209	24
1493	5212	20
1494	5215	17
1495	5219	13
1496	5222	10
1497	5226	6
1498	5229	3
1499	5233	0
