iter	AUC	Logloss
123	0.786392808	0.5633180143
124	0.7866771221	0.5630768616
125	0.7867997885	0.5628684519
126	0.7869355083	0.5626483394
127	0.7870689631	0.5624760964
128	0.7871910334	0.5622666285
129	0.787268579	0.5620259115
130	0.787322104	0.5618828633
131	0.7875220478	0.5616257749
132	0.7876037955	0.5614496724
133	0.7877190113	0.5613070599
134	0.7878366709	0.5611421623
135	0.7879614234	0.5609900257
136	0.7881484628	0.560750865
137	0.7882477641	0.5606303509
138	0.7883645296	0.5604638348
139	0.7884705067	0.5603364733
140	0.7885903716	0.5601215898
141	0.7887484431	0.5599693287
142	0.7889188528	0.5597683266
143	0.7890751958	0.5595960213
144	0.7891972065	0.5593776518
145	0.7893232703	0.5592388988
146	0.7894708514	0.5589729087
147	0.7895842195	0.5587581496
148	0.7896875739	0.5585724608
149	0.7898947001	0.55837426
150	0.7900739312	0.5581811635
151	0.7901724875	0.558076274
152	0.7902493477	0.5578800651
153	0.7903565764	0.557760298
154	0.7905164957	0.5575679485
155	0.7905846834	0.557415563
156	0.7906960845	0.5572746934
157	0.7907834053	0.5571156472
158	0.790920794	0.5569308299
159	0.7910218239	0.5567724684
160	0.7912331223	0.5564074402
161	0.7913472652	0.5562930265
162	0.7914821506	0.556119165
163	0.7917028368	0.5558483196
164	0.7917717099	0.5557058316
165	0.7918810248	0.5555624099
166	0.7920271754	0.5553707452
167	0.792185843	0.5552144379
168	0.7923090458	0.5550910603
169	0.7924114466	0.5549694258
170	0.7925951481	0.55472099
171	0.7926753759	0.5546129257
172	0.7927901149	0.5544249959
173	0.7928955555	0.5543140682
174	0.7929686904	0.5541669115
175	0.793042779	0.5540490741
176	0.7931399941	0.5539279998
177	0.7932173908	0.5537992688
178	0.7933472097	0.5536686704
179	0.7934650183	0.5534989174
180	0.7935140729	0.5533935298
181	0.7936701179	0.5531981924
182	0.7938542962	0.5530240197
183	0.7939484715	0.5528222706
184	0.7940630317	0.5527139573
185	0.7941898108	0.552511399
186	0.794326365	0.5523842866
187	0.7944329381	0.5522852484
188	0.7945849895	0.5521369712
189	0.7946553826	0.552009423
190	0.7947504222	0.5519243909
191	0.7948711514	0.5518168246
192	0.7949850559	0.5517049008
193	0.7950122654	0.5516231679
194	0.7951103449	0.5514758245
195	0.7952083349	0.5513694409
196	0.795333147	0.5512425774
197	0.7954152524	0.551108991
198	0.7954954505	0.5510193525
199	0.7955973148	0.5509135292
200	0.7956917882	0.5508012942
201	0.7958203554	0.5506799709
202	0.7958831191	0.5505879668
203	0.7959350049	0.5505092841
204	0.7961159945	0.5503196736
205	0.796149224	0.5502395591
206	0.796200633	0.5501563944
207	0.7963261008	0.550042292
208	0.796391964	0.5499080831
209	0.7965008616	0.5498027578
210	0.7965961397	0.5496927015
211	0.7967012525	0.5495139846
212	0.7967940569	0.5493043299
213	0.7968549132	0.5491935889
214	0.7969096303	0.5490387134
215	0.7970353365	0.5488942957
216	0.7971515656	0.5487752756
217	0.7972605824	0.5486410045
218	0.7974027991	0.5484059522
219	0.7975448966	0.5482906048
220	0.7976084948	0.5482122955
221	0.7977078557	0.5480792071
222	0.7978278995	0.5479447493
